date,attr,value,a,b,c,d
20140226,AWND,24,,,W,
20140226,WDF2,320,,,W,
20140226,WDF5,300,,,W,
20140226,WSF2,76,,,W,
20140226,WSF5,130,,,W,
20140226,WT08,1,,,W,
20140227,TMAX,11,,,W,2400
20140227,TMIN,-99,,,W,2400
20140227,PRCP,0,,,W,2400
20140227,SNOW,0,,,W,
20140227,SNWD,150,,,W,
20140227,AWND,38,,,W,
20140227,WDF2,290,,,W,
20140227,WDF5,290,,,W,
20140227,WSF2,94,,,W,
20140227,WSF5,174,,,W,
20140227,WT08,1,,,W,
20140228,TMAX,-43,,,W,2400
20140228,TMIN,-127,,,W,2400
20140228,PRCP,0,,,W,2400
20140228,SNOW,0,,,W,
20140228,SNWD,150,,,W,
20140228,AWND,21,,,W,
20140228,WDF2,280,,,W,
20140228,WDF5,330,,,W,
20140228,WSF2,67,,,W,
20140228,WSF5,112,,,W,
20140301,TMAX,28,,,W,2400
20140301,TMIN,-66,,,W,2400
20140301,PRCP,0,,,W,2400
20140301,SNOW,0,,,W,
20140301,SNWD,150,,,W,
20140301,AWND,20,,,W,
20140301,WDF2,260,,,W,
20140301,WDF5,260,,,W,
20140301,WSF2,54,,,W,
20140301,WSF5,72,,,W,
20140302,TMAX,44,,,W,2400
20140302,TMIN,0,,,W,2400
20140302,PRCP,0,T,,W,2400
20140302,SNOW,0,T,,W,
20140302,SNWD,130,,,W,
20140302,AWND,17,,,W,
20140302,WDF2,260,,,W,
20140302,WDF5,250,,,W,
20140302,WSF2,58,,,W,
20140302,WSF5,89,,,W,
20140302,WT08,1,,,W,
20140303,TMAX,0,,,W,2400
20140303,TMIN,-82,,,W,2400
20140303,PRCP,10,,,W,2400
20140303,SNOW,3,,,W,
20140303,SNWD,130,,,W,
20140303,AWND,30,,,W,
20140303,WDF2,360,,,W,
20140303,WDF5,340,,,W,
20140303,WSF2,72,,,W,
20140303,WSF5,107,,,W,
20140303,WT08,1,,,W,
20140304,TMAX,-16,,,W,2400
20140304,TMIN,-105,,,W,2400
20140304,PRCP,0,,,W,2400
20140304,SNOW,0,,,W,
20140304,SNWD,130,,,W,
20140304,AWND,21,,,W,
20140304,WDF2,40,,,W,
20140304,WDF5,40,,,W,
20140304,WSF2,58,,,W,
20140304,WSF5,85,,,W,
20140305,TMAX,39,,,W,2400
20140305,TMIN,-32,,,W,2400
20140305,PRCP,0,,,W,2400
20140305,SNOW,0,,,W,
20140305,SNWD,100,,,W,
20140305,AWND,23,,,W,
20140305,WDF2,30,,,W,
20140305,WDF5,40,,,W,
20140305,WSF2,76,,,W,
20140305,WSF5,112,,,W,
20140306,TMAX,-5,,,W,2400
20140306,TMIN,-88,,,W,2400
20140306,PRCP,0,,,W,2400
20140306,SNOW,0,,,W,
20140306,SNWD,100,,,W,
20140306,AWND,38,,,W,
20140306,WDF2,50,,,W,
20140306,WDF5,10,,,W,
20140306,WSF2,76,,,W,
20140306,WSF5,103,,,W,
20140307,TMAX,28,,,W,2400
20140307,TMIN,-32,,,W,2400
20140307,PRCP,0,,,W,2400
20140307,SNOW,0,,,W,
20140307,SNWD,100,,,W,
20140307,AWND,35,,,W,
20140307,WDF2,60,,,W,
20140307,WDF5,50,,,W,
20140307,WSF2,72,,,W,
20140307,WSF5,98,,,W,
20140307,WT08,1,,,W,
20140308,TMAX,139,,,W,2400
20140308,TMIN,17,,,W,2400
20140308,PRCP,0,,,W,2400
20140308,SNOW,0,,,W,
20140308,SNWD,80,,,W,
20140308,AWND,26,,,W,
20140308,WDF2,290,,,W,
20140308,WDF5,290,,,W,
20140308,WSF2,76,,,W,
20140308,WSF5,121,,,W,
20140309,TMAX,67,,,W,2400
20140309,TMIN,22,,,W,2400
20140309,PRCP,0,,,W,2400
20140309,SNOW,0,,,W,
20140309,SNWD,50,,,W,
20140309,AWND,28,,,W,
20140309,WDF2,320,,,W,
20140309,WDF5,310,,,W,
20140309,WSF2,67,,,W,
20140309,WSF5,98,,,W,
20140310,TMAX,106,,,W,2400
20140310,TMIN,22,,,W,2400
20140310,PRCP,0,T,,W,2400
20140310,SNOW,0,T,,W,
20140310,SNWD,30,,,W,
20140310,AWND,24,,,W,
20140310,WDF2,260,,,W,
20140310,WDF5,250,,,W,
20140310,WSF2,67,,,W,
20140310,WSF5,125,,,W,
20140310,WT08,1,,,W,
20140311,TMAX,189,,,W,2400
20140311,TMIN,72,,,W,2400
20140311,PRCP,0,,,W,2400
20140311,SNOW,0,,,W,
20140311,SNWD,0,,,W,
20140311,AWND,21,,,W,
20140311,WDF2,250,,,W,
20140311,WDF5,250,,,W,
20140311,WSF2,58,,,W,
20140311,WSF5,98,,,W,
20140312,TMAX,133,,,W,2400
20140312,TMIN,0,,,W,2400
20140312,PRCP,89,,,W,2400
20140312,SNOW,0,,,W,
20140312,SNWD,0,,,W,
20140312,AWND,24,,,W,
20140312,WDF2,310,,,W,
20140312,WDF5,320,,,W,
20140312,WSF2,89,,,W,
20140312,WSF5,157,,,W,
20140313,TMAX,0,,,W,2400
20140313,TMIN,-77,,,W,2400
20140313,PRCP,0,,,W,2400
20140313,SNOW,0,,,W,
20140313,SNWD,0,,,W,
20140313,AWND,63,,,W,
20140313,WDF2,310,,,W,
20140313,WDF5,320,,,W,
20140313,WSF2,103,,,W,
20140313,WSF5,179,,,W,
20140314,TMAX,78,,,W,2400
20140314,TMIN,-55,,,W,2400
20140314,PRCP,0,,,W,2400
20140314,SNOW,0,,,W,
20140314,SNWD,0,,,W,
20140314,AWND,25,,,W,
20140314,WDF2,260,,,W,
20140314,WDF5,250,,,W,
20140314,WSF2,63,,,W,
20140314,WSF5,103,,,W,
20140315,TMAX,144,,,W,2400
20140315,TMIN,56,,,W,2400
20140315,PRCP,0,,,W,2400
20140315,SNOW,0,,,W,
20140315,SNWD,0,,,W,
20140315,AWND,40,,,W,
20140315,WDF2,290,,,W,
20140315,WDF5,300,,,W,
20140315,WSF2,94,,,W,
20140315,WSF5,148,,,W,
20140316,TMAX,56,,,W,2400
20140316,TMIN,-10,,,W,2400
20140316,PRCP,0,,,W,2400
20140316,SNOW,0,,,W,
20140316,SNWD,0,,,W,
20140316,AWND,34,,,W,
20140316,WDF2,310,,,W,
20140316,WDF5,310,,,W,
20140316,WSF2,72,,,W,
20140316,WSF5,125,,,W,
20140317,TMAX,17,,,W,2400
20140317,TMIN,-49,,,W,2400
20140317,PRCP,0,,,W,2400
20140317,SNOW,0,,,W,
20140317,SNWD,0,,,W,
20140317,AWND,36,,,W,
20140317,WDF2,40,,,W,
20140317,WDF5,10,,,W,
20140317,WSF2,67,,,W,
20140317,WSF5,103,,,W,
20140318,TMAX,61,,,W,2400
20140318,TMIN,-21,,,W,2400
20140318,PRCP,0,,,W,2400
20140318,SNOW,0,,,W,
20140318,SNWD,0,,,W,
20140318,AWND,31,,,W,
20140318,WDF2,60,,,W,
20140318,WDF5,60,,,W,
20140318,WSF2,89,,,W,
20140318,WSF5,112,,,W,
20140319,TMAX,78,,,W,2400
20140319,TMIN,0,,,W,2400
20140319,PRCP,234,,,W,2400
20140319,SNOW,0,,,W,
20140319,SNWD,0,,,W,
20140319,AWND,32,,,W,
20140319,WDF2,110,,,W,
20140319,WDF5,130,,,W,
20140319,WSF2,67,,,W,
20140319,WSF5,94,,,W,
20140320,TMAX,122,,,W,2400
20140320,TMIN,44,,,W,2400
20140320,PRCP,0,,,W,2400
20140320,SNOW,0,,,W,
20140320,SNWD,0,,,W,
20140320,AWND,36,,,W,
20140320,WDF2,280,,,W,
20140320,WDF5,280,,,W,
20140320,WSF2,89,,,W,
20140320,WSF5,143,,,W,
20140321,TMAX,106,,,W,2400
20140321,TMIN,39,,,W,2400
20140321,PRCP,0,,,W,2400
20140321,SNOW,0,,,W,
20140321,SNWD,0,,,W,
20140321,AWND,34,,,W,
20140321,WDF2,310,,,W,
20140321,WDF5,280,,,W,
20140321,WSF2,72,,,W,
20140321,WSF5,130,,,W,
20140322,TMAX,172,,,W,2400
20140322,TMIN,50,,,W,2400
20140322,PRCP,0,,,W,2400
20140322,SNOW,0,,,W,
20140322,SNWD,0,,,W,
20140322,AWND,31,,,W,
20140322,WDF2,280,,,W,
20140322,WDF5,270,,,W,
20140322,WSF2,81,,,W,
20140322,WSF5,143,,,W,
20140323,TMAX,56,,,W,2400
20140323,TMIN,-27,,,W,2400
20140323,PRCP,0,,,W,2400
20140323,SNOW,0,,,W,
20140323,SNWD,0,,,W,
20140323,AWND,33,,,W,
20140323,WDF2,310,,,W,
20140323,WDF5,310,,,W,
20140323,WSF2,67,,,W,
20140323,WSF5,103,,,W,
20140324,TMAX,17,,,W,2400
20140324,TMIN,-60,,,W,2400
20140324,PRCP,0,,,W,2400
20140324,SNOW,0,,,W,
20140324,SNWD,0,,,W,
20140324,AWND,30,,,W,
20140324,WDF2,350,,,W,
20140324,WDF5,10,,,W,
20140324,WSF2,67,,,W,
